userName,review,at,score,app_name,stemming,skor_sentimen,label
Indra Dollu,sangat membantu ❤❤😍,2025-08-31 23:57:20,5,BRImo,sangat bantu,1,positif
Karyanto Tel,sangat puas,2025-08-31 23:56:18,5,BRImo,sangat puas,1,positif
Ulil Azmi,mantap,2025-08-31 23:47:20,5,BRImo,mantap,1,positif
Nyong 24,sangat membantu,2025-08-31 23:42:54,5,BRImo,sangat bantu,1,positif
Rasya Wahyu,tingkat kan terus aplikasi nya dan berikan kemudahan setiap layanan nya,2025-08-31 23:40:22,5,BRImo,tingkat kan terus aplikasi nya dan ikan mudah tiap layan nya,1,positif
Novia Wulandari,Aplikasi yg bagus . memudahkan costumer dlm bertransaksi. sangat membantu,2025-08-31 23:40:21,5,BRImo,aplikasi yg bagus mudah costumer dlm transaksi sangat bantu,3,positif
Andri Agus piana,bagus,2025-08-31 23:39:57,5,BRImo,bagus,1,positif
Yopi Hermawan,"ribet, urusan y bertele tele",2025-08-31 23:37:29,1,BRImo,ribet urus y tele tele,-1,negatif
Noe Blues,sangat membantu. sekali,2025-08-31 23:29:40,5,BRImo,sangat bantu sekali,1,positif
Yan Ginsa,"setelah update fast menu tidak bisa berubah walau sudah di ubah di pengaturan, info pemasukan dan pengeluaran juga jadi ilang kemana,,, developer nya gimana sih malah banyak bug",2025-08-31 23:28:35,1,BRImo,telah update fast menu tidak bisa ubah walau sudah di ubah di atur info pasu dan keluar juga jadi ilang mana developer nya gimana sih malah banyak bug,1,positif
PRIONO ION,Sangat membantu memudahkan transaksi,2025-08-31 23:28:34,5,BRImo,sangat bantu mudah transaksi,2,positif
Ramcell Karangtengah,transaksi cepat .tepat .aman.dan nyaman,2025-08-31 23:27:12,5,BRImo,transaksi cepat tepat aman dan nyaman,3,positif
Tri Pujianto,mudah digunakan,2025-08-31 23:25:22,5,BRImo,mudah guna,2,positif
Endri Setiawan,aman,2025-08-31 23:22:45,5,BRImo,aman,1,positif
Yogie Djojosoegardo,Kecepatan transaksi yg sangat membantu,2025-08-31 23:16:12,5,BRImo,cepat transaksi yg sangat bantu,2,positif
Siti Siti,"puas banget pakai brimo, sering membantu, Uda beberapa kali kartu ATM aku ketinggalan, untung nya punya brimo jadi gak usah bolak balek ngambil ATM, tinggal transaksi beres, dan juga transaksinya sangat mudah",2025-08-31 23:16:03,5,BRImo,puas banget pakai brimo sering bantu uda beberapa kali kartu atm aku tinggal untung nya punya brimo jadi gak usah bolak balek ngambil atm tinggal transaksi beres dan juga transaksi sangat mudah,3,positif
Wiwink Nikka,sangat membantu,2025-08-31 23:14:37,5,BRImo,sangat bantu,1,positif
Fawzan Aisyah,sangat membantu sekali,2025-08-31 23:14:29,5,BRImo,sangat bantu sekali,1,positif
Rise Arsela,"setelah di perbarui tiba² ga bisa di buka, banyak banget kendalanya ihhh👎👎👎👎",2025-08-31 23:12:52,1,BRImo,telah di baru tiba ga bisa di buka banyak banget kendala ihhh,1,positif
Tupar Diana,mudah dan terpercaya,2025-08-31 23:10:35,5,BRImo,mudah dan percaya,1,positif
Pryitno Yitno,aplikasi sangat bagus.,2025-08-31 23:09:00,5,BRImo,aplikasi sangat bagus,1,positif
Deyatna Umasangaji,"eh kalau mau pembaharuan yang bagus dikit, sedikit2 pembaruan sedikit2 pembaruan bagus tidak lemot mah iyaaa",2025-08-31 23:06:51,1,BRImo,eh kalau mau baharu yang bagus dikit sedikit2 baru sedikit2 baru bagus tidak lot mah iyaaa,1,positif
Aldi Favh,cukup puas,2025-08-31 23:05:06,4,BRImo,cukup puas,1,positif
Heny S,"Alhamdulillah,lumayan membantu.",2025-08-31 23:04:50,4,BRImo,alhamdulillah lumayan bantu,1,positif
Tomi Romadon,Kenapa tidak bisa buat akun,2025-08-31 23:04:44,3,BRImo,kenapa tidak bisa buat akun,1,positif
Rizal Ar-rahman_07,"mempermudah transaksi sih jd ga ush ke ATM,cmn ADM nya lumayan 2500 kalo trf beda bank dan kirim ke sama bank juga (notifikasi) ternyata ada potongan juga. 6x notifikas ADM 4500, ga kaya kredivo, Dana, gopay, belum tiap bulan ada terus potongan nya. saldo Pendem 50K di mutasi ada pengeluaran 12ribu, 2ribu, tapi yang ilang 18 ribu dan aneh nya tiap ngisi saldo pasti kepotong, saldonya berkurang terus. bulan sekarang udah 30ribu. tidak seberapa bagi kalian, tapi bagi saya,bisa makan dua hari itu😑",2025-08-31 22:57:50,2,BRImo,mudah transaksi sih jd ga ush ke atm cmn adm nya lumayan 2500 kalo trf beda bank dan kirim ke sama bank juga notifikasi nyata ada potong juga 6x notifikas adm 4500 ga kaya kredivo dana gopay belum tiap bulan ada terus potong nya saldo pendem 50k di mutasi ada keluar 12ribu 2ribu tapi yang ilang 18 ribu dan aneh nya tiap ngisi saldo pasti potong saldo kurang terus bulan sekarang udah 30ribu tidak berapa bagi kalian tapi bagi saya bisa makan dua hari itu,2,positif
benanza,update aplikasi terbaru lebih sering delay saat digunakan.,2025-08-31 22:57:22,1,BRImo,update aplikasi baru lebih sering delay saat guna,2,positif
Aditya N P,sangat membantu,2025-08-31 22:56:02,5,BRImo,sangat bantu,1,positif
Muhammad Novianto,"layanan mantap punya, fitur oke",2025-08-31 22:54:06,5,BRImo,layan mantap punya fitur oke,2,positif
Maria Yasinta Sada Sada,baik dan bagus,2025-08-31 22:49:51,5,BRImo,baik dan bagus,2,positif
ahmaludin udin,ini sangat membantu saya ketika bertransaksi tidak harus ke kantor BRI,2025-08-31 22:47:18,4,BRImo,ini sangat bantu saya ketika transaksi tidak harus ke kantor bri,1,positif
Abdu Rohim,baik. trimakasi atas pelayanannya,2025-08-31 22:46:47,5,BRImo,baik trimakasi atas layan,1,positif
Andi Ramon,"Aplikasi BRImo sangat praktis, mantul 👍",2025-08-31 22:39:38,5,BRImo,aplikasi brimo sangat praktis mantul,2,positif
asterius aster,Baik sangat membantu,2025-08-31 22:38:00,5,BRImo,baik sangat bantu,2,positif
Vhina Kendari,saya ada pinjaman dibrimo tapi kenapa sistemnya itu selalu mendebit 2x dalam sebulan. kan tidak ada perjanjian begitu. perbaiki sistemnya jangan mendebit 2x trus.,2025-08-31 22:37:51,1,BRImo,saya ada pinjam dibrimo tapi kenapa sistem itu selalu debit 2x dalam bulan kan tidak ada janji begitu baik sistem jangan debit 2x trus,1,positif
Alya Nisa Dzakiyah,sangat membantu,2025-08-31 22:35:54,5,BRImo,sangat bantu,1,positif
Panji Tengkorak,"satu dulu ya, karena akhir2 ini gak bisa transaksi,",2025-08-31 22:32:03,1,BRImo,satu dulu ya karena akhir2 ini gak bisa transaksi,1,positif
Idah Casridah,saya lupa password tapi mau ganti password baru juga ga bisa,2025-08-31 22:27:22,2,BRImo,saya lupa password tapi mau ganti password baru juga ga bisa,1,positif
SBS squad,"habis update malah sering error, muncul tulisan ""brimo tidak menanggapi"" teruss taikkk. tolonglah woy kita nabung kalian juga untung, cepet perbaiki sono aplikasi lambar",2025-08-31 22:27:07,1,BRImo,habis update malah sering error muncul tulis brimo tidak tanggap teruss taikkk tolong woy kita nabung kalian juga untung cepet baik sono aplikasi lambar,1,positif
ARDIKA RAHMAN,"mohon di perbaiki terkadang saldo di brimo telat masuk, padahal di atm sudah ada notif",2025-08-31 22:21:24,3,BRImo,mohon di baik terkadang saldo di brimo telat masuk padahal di atm sudah ada notif,1,positif
desa piondo,sangat bagus dan sesuai,2025-08-31 22:20:08,5,BRImo,sangat bagus dan sesuai,1,positif
Ayip 48,jika aplikasi teman teman mengalami eror dan bertuliskan harap keluar kan aplikasi lain dan kembali lagi untuk melanjutkan aktivitasmu... teman teman non aktifkan BOLA PINTASAN yang ada di pojok hp kalian itulah penyebapnya bbrimo kalian eror,2025-08-31 22:16:50,5,BRImo,jika aplikasi teman teman alami eror dan tulis harap keluar kan aplikasi lain dan kembali lagi untuk lanjut aktivitas teman teman non aktif bola pintas yang ada di pojok hp kalian itu bap bbrimo kalian eror,-2,negatif
Yusup Kuncung,bagus,2025-08-31 22:12:24,5,BRImo,bagus,1,positif
Sokhati 994,"enak digunakan simpel,cuma beberapa hari ini buat transfer susah banget katanya aplikasi lain harus dimatikan dahulu sebelum menggunakan brimo padahal lagi ngga pakai aplikasi lain. itu kira"" kenapa ya?",2025-08-31 22:12:08,5,BRImo,enak guna simpel cuma beberapa hari ini buat transfer susah banget kata aplikasi lain harus mati dahulu belum guna brimo padahal lagi ngga pakai aplikasi lain itu kira kenapa ya,-1,negatif
Yumori Naoki,"Lancar banget aplikasinya, tidak ada bug, penggunaan mudah, fitur juga banyak, bisa scan juga",2025-08-31 22:09:47,5,BRImo,lancar banget aplikasi tidak ada bug guna mudah fitur juga banyak bisa scan juga,3,positif
Amran Balle,"sangat mempermudah transaksi, terbaik pokok nya",2025-08-31 22:07:33,5,BRImo,sangat mudah transaksi baik pokok nya,2,positif
Ahmad Sulton,"Sangat mudah digunakan, ringan dan gak ribet",2025-08-31 22:02:54,5,BRImo,sangat mudah guna ringan dan gak ribet,2,positif
Riedh Tjan,GK ribet,2025-08-31 22:01:17,5,BRImo,gk ribet,-1,negatif
Alvient Sugiyanto,"sudah update tapi bug yang gara gara shortcut bola pintasan, assebilitas,dan batasan layar belakang pada opsi pengembang masih belum hilang....lama sekali perbaikan team ITnya. masak iya harus ubah setingan terus lalu restart hp sampai capek restart hp Mulu",2025-08-31 21:55:12,2,BRImo,sudah update tapi bug yang gara gara shortcut bola pintas assebilitas dan batas layar belakang pada opsi kembang masih belum hilang lama sekali baik team itnya masak iya harus ubah ting terus lalu restart hp sampai capek restart hp mulu,-1,negatif
Antong Cib,"aplikasi yang praktis memudahkan pengguna dan juga banyak banyak fasilitas, era digital ini harus selalu inovatif jangan kalah dengan aplikasi Fintech lainnya yang berbasis AI",2025-08-31 21:54:32,5,BRImo,aplikasi yang praktis mudah guna dan juga banyak banyak fasilitas era digital ini harus selalu inovatif jangan kalah dengan aplikasi fintech lain yang bas ai,4,positif
Hadi Pranoto,baik,2025-08-31 21:50:27,5,BRImo,baik,1,positif
Lely lovely,mudah digunakan tapi sering kali harus update.,2025-08-31 21:49:35,4,BRImo,mudah guna tapi sering kali harus update,3,positif
Yustina Hapsari,memudahkan pembayaran dan pembelian,2025-08-31 21:47:53,5,BRImo,mudah bayar dan beli,1,positif
Fredrij Bikon,sangat membantu,2025-08-31 21:43:33,4,BRImo,sangat bantu,1,positif
Rivael Waani,oke,2025-08-31 21:42:41,5,BRImo,oke,1,positif
SUKARDI,versi baru lebih bagus,2025-08-31 21:36:44,5,BRImo,versi baru lebih bagus,1,positif
Achmad Agam,"saya sangat puas,dengan layanan Brimo",2025-08-31 21:33:01,5,BRImo,saya sangat puas dengan layan brimo,1,positif
yani maryani,setelah sy baca yg kasi bintang 1 sama kyk saya. update malah mati terus. jd gimana ini solusinya apa? udh bener belum?,2025-08-31 21:30:30,1,BRImo,telah sy baca yg kasi bintang 1 sama kyk saya update malah mati terus jd gimana ini solusi apa udh bener belum,2,positif
ISA BELA,bagus,2025-08-31 21:19:32,5,BRImo,bagus,1,positif
Samsung A05,sangat mudah,2025-08-31 21:09:05,4,BRImo,sangat mudah,1,positif
A,bagus,2025-08-31 21:06:02,5,BRImo,bagus,1,positif
Riyan Maerani,kenapa ya kalo lagi buka BRImo selalu ada tampilan brimo tidak menanggapi?? selalu otomatis keluar sendiri?,2025-08-31 20:59:57,3,BRImo,kenapa ya kalo lagi buka brimo selalu ada tampil brimo tidak tanggap selalu otomatis keluar sendiri,-1,negatif
Toha Hari,pak saldo dibuku rekk ko ada tapi tidak zdpt ditarik tunai akibat kartu karda lirsa mohon bantuannya untuk mencairan akun,2025-08-31 20:46:42,5,BRImo,pak saldo buku rekk ko ada tapi tidak zdpt tarik tunai akibat kartu karda lirsa mohon bantu untuk cair akun,1,positif
Deasy Tone,"heran deh,susah banget masuk ke aplikasi,sdh log in tetiba logout sndri",2025-08-31 20:43:53,3,BRImo,heran deh susah banget masuk ke aplikasi sdh log in tetiba logout sndri,-1,negatif
MOHAMMAD NAUVAL AL THOBRONI,"sangat burukk, masa engga bisa tf dan tarik tunai sih, keterangannya harus menutup semua aplikasi yg berjalan demi kenyamanan bersama gitu2 mulu, udah hubungi cs nya tetep aja engga bisa malah disuruh kekantor cabang terdekat",2025-08-31 20:41:52,1,BRImo,sangat burukk masa engga bisa tf dan tarik tunai sih terang harus tutup semua aplikasi yg jalan demi nyaman sama gitu2 mulu udah hubung cs nya tetep aja engga bisa malah suruh kantor cabang dekat,2,positif
RIFKI MRA,Ternyata setelah update pada Agustus 2025 ini banyak komentar kecewa termasuk saya dan masih saya kasih bintang 1 karena masalah Deposito di aplikasi BRImo belum selesai bahkan email pengaduan saya belum dibalas oleh BRI,2025-08-31 20:41:28,1,BRImo,nyata telah update pada agustus 2025 ini banyak komentar kecewa masuk saya dan masih saya kasih bintang 1 karena masalah deposito di aplikasi brimo belum selesai bahkan email adu saya belum balas oleh bri,-1,negatif
Asep Kenji,bagus saya suka,2025-08-31 20:35:20,5,BRImo,bagus saya suka,2,positif
Zah Ida,tambah parah,2025-08-31 20:19:05,1,BRImo,tambah parah,-1,negatif
ibeng,memudahkan,2025-08-31 20:06:38,5,BRImo,mudah,1,positif
Sayang Kasepku cintaku,baru kasih nilai b5 semua update malahh gk bisa di buka njirrrr,2025-08-31 20:04:30,5,BRImo,baru kasih nilai b5 semua update malahh gk bisa di buka njirrrr,2,positif
Deco Addriansyah,sangat membantu,2025-08-31 19:47:17,5,BRImo,sangat bantu,1,positif
Putra Jaya,mengapa menu y berubah..terus buat bayar cicilan y hilang ..gana sh BRI mu..kembalikan keawal bos,2025-08-31 19:39:34,1,BRImo,mengapa menu y ubah terus buat bayar cicil y hilang gana sh bri mu kembali awal bos,-1,negatif
The brebrobrew,susah banget login nomer aktiv data ada cuman pindah HP bikin susah transaksi ribet ga kaya bank sebelah ga ribet ✖️,2025-08-31 19:36:40,1,BRImo,susah banget login nomer aktiv data ada cuman pindah hp bikin susah transaksi ribet ga kaya bank belah ga ribet,-2,negatif
Suratman lalu Mamat cila (Mamat cila),baik,2025-08-31 19:29:50,5,BRImo,baik,1,positif
tama tekno,"saya sangat nyaman, menggunakan brimo, namun, kendala Kami, adalah, mode aksesibilitas, yang harus dinonaktifkan oleh brimo,Jadi, kami mohon, untuk perbaiki kendala inisupaya, Kami, lebih nyaman, untuk menggunakan brimo, khususnya, Kami para tunanetra",2025-08-31 19:27:44,5,BRImo,saya sangat nyaman guna brimo namun kendala kami adalah mode aksesibilitas yang harus nonaktif oleh brimo jadi kami mohon untuk baik kendala inisupaya kami lebih nyaman untuk guna brimo khusus kami para tunanetra,4,positif
Ahmad Sajeri,terimakih app sangat membantu memudahkan transaksi tanpa ke bank,2025-08-31 19:27:09,5,BRImo,terimakih app sangat bantu mudah transaksi tanpa ke bank,2,positif
Nor Hary,"gimna nih,udh d update kok jd gk bisa buat transaksi🤦🏻",2025-08-31 19:25:38,1,BRImo,gimna nih udh d update kok jd gk bisa buat transaksi,2,positif
tri mulyono,brimo mudah simple,2025-08-31 19:19:47,5,BRImo,brimo mudah simple,2,positif
Muhaiminamin Muhaimin,bagus baru di perbarui ko nggk bs d buka,2025-08-31 19:07:14,2,BRImo,bagus baru di baru ko nggk bs d buka,1,positif
ricky rinaldo,kyk gak ad kerjaan.. bentar2 update.. dak jelas,2025-08-31 19:03:40,1,BRImo,kyk gak ad kerja bentar2 update dak jelas,1,positif
balak bordir,aplikasi brimo mantap,2025-08-31 19:00:07,5,BRImo,aplikasi brimo mantap,1,positif
Eki Suswanto,Lebih praktis dengan apk ini,2025-08-31 18:56:05,5,BRImo,lebih praktis dengan apk ini,1,positif
tanisa 1210,mantap,2025-08-31 18:53:16,5,BRImo,mantap,1,positif
Septinus Raimon,"saldo terpotong transaksi gagal, bahaya",2025-08-31 18:52:31,1,BRImo,saldo potong transaksi gagal bahaya,-1,negatif
sri andayani,Alhamdulillah yang sudah nyaman,2025-08-31 18:51:30,5,BRImo,alhamdulillah yang sudah nyaman,2,positif
Mochamad Hamdih,setelah di upgrade persi baru sering error aplikasi tidak menanggapi padahal udh hapus cace hapus data sama saja jadi lambat,2025-08-31 18:50:03,1,BRImo,telah di upgrade pers baru sering error aplikasi tidak tanggap padahal udh hapus cace hapus data sama saja jadi lambat,-2,negatif
Khoirul Anam,trimakasih bro tpi klo bisa potongan bulanan jangan terlalu banyak bri,2025-08-31 18:46:42,5,BRImo,trimakasih bro tpi klo bisa potong bulan jangan terlalu banyak bri,1,positif
Dian dian,aplikasi nya sangat Bagus dan aman,2025-08-31 18:36:22,5,BRImo,aplikasi nya sangat bagus dan aman,2,positif
Aben,kenapa apk BRIMO versi 2.87.1 tidak bisa dibuka pdhl sdh di update d plays?,2025-08-31 18:29:04,4,BRImo,kenapa apk brimo versi 2 87 1 tidak bisa buka pdhl sdh di update d plays,2,positif
Edwina Pandu,bagus,2025-08-31 18:26:29,5,BRImo,bagus,1,positif
ERAS 01 N,Sangat mudah akses aplikasi ini terimakasih,2025-08-31 18:20:56,5,BRImo,sangat mudah akses aplikasi ini terimakasih,1,positif
Arif Rifatullah,sangat membantu transaksi cukup dirumah melakukan transaksi tf,2025-08-31 18:15:30,5,BRImo,sangat bantu transaksi cukup rumah laku transaksi tf,1,positif
Agung Cgb,"aplikasinya bagus gampang banget dimengerti, cuman itu fitur BI FAST kadang suka non aktif tolong diperbaharui biar transaksi antar bank nya murah.",2025-08-31 18:10:53,5,BRImo,aplikasi bagus gampang banget erti cuman itu fitur bi fast kadang suka non aktif tolong baharu biar transaksi antar bank nya murah,3,positif
Lilik Eka wati,mempermudah transaksi belanja pulsa dll,2025-08-31 17:45:27,5,BRImo,mudah transaksi belanja pulsa dll,1,positif
Herman Syah,sangat membantu,2025-08-31 17:34:21,5,BRImo,sangat bantu,1,positif
Ayi Nurdin,Sue susah login,2025-08-31 17:27:29,1,BRImo,sue susah login,-1,negatif
satria biru,membantu banget,2025-08-31 17:25:39,5,BRImo,bantu banget,1,positif
Willan Dozan,apknya sih bagus cuma data² kita gampang di curi orang,2025-08-31 17:21:37,3,BRImo,apknya sih bagus cuma data kita gampang di curi orang,2,positif
supyan zakianaji,sangat membantu,2025-08-31 17:20:09,5,BRImo,sangat bantu,1,positif
BANG JOY JAYA,skrg transfer melalui HP aja ribet,2025-08-31 17:18:03,5,BRImo,skrg transfer lalu hp aja ribet,-1,negatif
Azzy Gavriel,"Tiba tiba tidak bisa menerima transferan, tertulis akun tersebut terblokir. Padahal gapernah melakukan transaksi yang mencurigakan apapun, BRIMO NGENTÓT",2025-08-31 17:16:35,1,BRImo,tiba tiba tidak bisa terima transfer tulis akun sebut blokir padahal gapernah laku transaksi yang curiga apa brimo ngent t,1,positif
Ikna,mudah untuk transaksi bagus,2025-08-31 17:09:20,5,BRImo,mudah untuk transaksi bagus,2,positif
